Source,Target,Weight,Type
Ael.Ar_Orat_13,Ael.Ar_Orat_14,53,undirected
Ael.Ar_Orat_13,Ael.Ar_Orat_45,6,undirected
Ael.Ar_Orat_13,Ael.Ar_Orat_46.dluuugie,37,undirected
Ael.Ar_Orat_13,Ael.Ar_Orat_48,13,undirected
Ael.Ar_Orat_13,Ael.Ar_Orat_53,4,undirected
Ael.Ar_Orat_13,Aeschin_Ctesiph,6,undirected
Ael.Ar_Orat_13,Aeschin_O.poselstwie,2,undirected
Ael.Ar_Orat_13,Isocr_4,2,undirected
Ael.Ar_Orat_14,Ael.Ar_Orat_13,53,undirected
Ael.Ar_Orat_14,Ael.Ar_Orat_45,1,undirected
Ael.Ar_Orat_14,Ael.Ar_Orat_46.dluuugie,20,undirected
Ael.Ar_Orat_14,Ael.Ar_Orat_48,9,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_13,6,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_14,1,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_46.dluuugie,60,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_46,20,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_48,47,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_49,35,undirected
Ael.Ar_Orat_45,Ael.Ar_Orat_53,27,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_13,37,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_14,20,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_45,60,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_46,35,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_48,22,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_49,39,undirected
Ael.Ar_Orat_46.dluuugie,Ael.Ar_Orat_53,23,undirected
Ael.Ar_Orat_46.dluuugie,Aeschin_Ctesiph,5,undirected
Ael.Ar_Orat_46.dluuugie,Aeschin_O.poselstwie,5,undirected
Ael.Ar_Orat_46.dluuugie,Aeschin_Timarch,8,undirected
Ael.Ar_Orat_46,Ael.Ar_Orat_45,20,undirected
Ael.Ar_Orat_46,Ael.Ar_Orat_46.dluuugie,35,undirected
Ael.Ar_Orat_46,Ael.Ar_Orat_48,1,undirected
Ael.Ar_Orat_46,Ael.Ar_Orat_49,9,undirected
Ael.Ar_Orat_46,Ael.Ar_Orat_53,2,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_13,13,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_14,9,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_45,47,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_46.dluuugie,22,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_46,1,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_49,6,undirected
Ael.Ar_Orat_48,Ael.Ar_Orat_53,1,undirected
Ael.Ar_Orat_49,Ael.Ar_Orat_45,35,undirected
Ael.Ar_Orat_49,Ael.Ar_Orat_46.dluuugie,39,undirected
Ael.Ar_Orat_49,Ael.Ar_Orat_46,9,undirected
Ael.Ar_Orat_49,Ael.Ar_Orat_48,6,undirected
Ael.Ar_Orat_49,Aeschin_Timarch,6,undirected
Ael.Ar_Orat_53,Ael.Ar_Orat_13,4,undirected
Ael.Ar_Orat_53,Ael.Ar_Orat_45,27,undirected
Ael.Ar_Orat_53,Ael.Ar_Orat_46.dluuugie,23,undirected
Ael.Ar_Orat_53,Ael.Ar_Orat_46,2,undirected
Ael.Ar_Orat_53,Ael.Ar_Orat_48,1,undirected
Ael.Ar_Orat_53,Aeschin_Timarch,3,undirected
Ael_NA_1,Ael_NA_2,26,undirected
Ael_NA_1,Ael_NA_3,18,undirected
Ael_NA_1,Ael_NA_4,6,undirected
Ael_NA_1,Ael_NA_5,40,undirected
Ael_NA_1,Ael_NA_6,6,undirected
Ael_NA_1,Ael_NA_7,7,undirected
Ael_NA_2,Ael_NA_1,26,undirected
Ael_NA_2,Ael_NA_3,7,undirected
Ael_NA_2,Ael_NA_4,40,undirected
Ael_NA_2,Ael_NA_5,58,undirected
Ael_NA_2,Ael_NA_6,9,undirected
Ael_NA_2,Ael_NA_7,2,undirected
Ael_NA_3,Ael_NA_1,18,undirected
Ael_NA_3,Ael_NA_2,7,undirected
Ael_NA_3,Ael_NA_4,1,undirected
Ael_NA_3,Ael_NA_5,17,undirected
Ael_NA_3,Ael_NA_6,23,undirected
Ael_NA_3,Ael_NA_7,13,undirected
Ael_NA_4,Ael_NA_1,6,undirected
Ael_NA_4,Ael_NA_2,40,undirected
Ael_NA_4,Ael_NA_3,1,undirected
Ael_NA_4,Ael_NA_5,20,undirected
Ael_NA_4,Ael_NA_6,2,undirected
Ael_NA_4,Ael_NA_7,7,undirected
Ael_NA_5,Ael_NA_1,40,undirected
Ael_NA_5,Ael_NA_2,58,undirected
Ael_NA_5,Ael_NA_3,17,undirected
Ael_NA_5,Ael_NA_4,20,undirected
Ael_NA_5,Ael_NA_6,26,undirected
Ael_NA_5,Ael_NA_7,36,undirected
Ael_NA_6,Ael_NA_1,6,undirected
Ael_NA_6,Ael_NA_2,9,undirected
Ael_NA_6,Ael_NA_3,23,undirected
Ael_NA_6,Ael_NA_4,2,undirected
Ael_NA_6,Ael_NA_5,26,undirected
Ael_NA_6,Ael_NA_7,56,undirected
Ael_NA_7,Ael_NA_1,7,undirected
Ael_NA_7,Ael_NA_2,2,undirected
Ael_NA_7,Ael_NA_3,13,undirected
Ael_NA_7,Ael_NA_4,7,undirected
Ael_NA_7,Ael_NA_5,36,undirected
Ael_NA_7,Ael_NA_6,56,undirected
Aesch_Ag,Aesch_Eum,53,undirected
Aesch_Ag,Aesch_Lib,51,undirected
Aesch_Ag,Aesch_Pers,17,undirected
Aesch_Ag,Aesch_Septem,25,undirected
Aesch_Ag,Aesch_Supp,44,undirected
Aesch_Ag,Eur_Rh,3,undirected
Aesch_Ag,Soph_Ant,1,undirected
Aesch_Eum,Aesch_Ag,53,undirected
Aesch_Eum,Aesch_Lib,23,undirected
Aesch_Eum,Aesch_Septem,8,undirected
Aesch_Eum,Aesch_Supp,32,undirected
Aeschin_Ctesiph,Ael.Ar_Orat_13,6,undirected
Aeschin_Ctesiph,Ael.Ar_Orat_46.dluuugie,5,undirected
Aeschin_Ctesiph,Aeschin_O.poselstwie,56,undirected
Aeschin_Ctesiph,Aeschin_Timarch,54,undirected
Aeschin_O.poselstwie,Ael.Ar_Orat_13,2,undirected
Aeschin_O.poselstwie,Ael.Ar_Orat_46.dluuugie,5,undirected
Aeschin_O.poselstwie,Aeschin_Ctesiph,56,undirected
Aeschin_O.poselstwie,Aeschin_Timarch,40,undirected
Aeschin_O.poselstwie,Isocr_12.dluga,1,undirected
Aeschin_O.poselstwie,Isocr_17,21,undirected
Aeschin_O.poselstwie,Isocr_18,4,undirected
Aeschin_O.poselstwie,Isocr_4,2,undirected
Aeschin_Timarch,Ael.Ar_Orat_46.dluuugie,8,undirected
Aeschin_Timarch,Ael.Ar_Orat_49,6,undirected
Aeschin_Timarch,Ael.Ar_Orat_53,3,undirected
Aeschin_Timarch,Aeschin_Ctesiph,54,undirected
Aeschin_Timarch,Aeschin_O.poselstwie,40,undirected
Aeschin_Timarch,Isocr_17,19,undirected
Aeschin_Timarch,Isocr_18,1,undirected
Aesch_Lib,Aesch_Ag,51,undirected
Aesch_Lib,Aesch_Eum,23,undirected
Aesch_Lib,Aesch_Pers,11,undirected
Aesch_Lib,Aesch_Septem,2,undirected
Aesch_Lib,Aesch_Supp,1,undirected
Aesch_Lib,Eur_El,3,undirected
Aesch_Lib,Eur_Phoen,9,undirected
Aesch_Pers,Aesch_Ag,17,undirected
Aesch_Pers,Aesch_Lib,11,undirected
Aesch_Pers,Aesch_Septem,21,undirected
Aesch_Pers,Aesch_Supp,6,undirected
Aesch_Pers,Eur_Phoen,12,undirected
Aesch_Prom,Eur_Hel,19,undirected
Aesch_Prom,Eur_Her,2,undirected
Aesch_Prom,Eur_IA,2,undirected
Aesch_Prom,Eur_IT,2,undirected
Aesch_Prom,Eur_Phoen,3,undirected
Aesch_Prom,Eur_Supp,4,undirected
Aesch_Prom,Eur_Tro,1,undirected
Aesch_Prom,Soph_El,1,undirected
Aesch_Prom,Soph_OC,8,undirected
Aesch_Prom,Soph_Trach,18,undirected
Aesch_Septem,Aesch_Ag,25,undirected
Aesch_Septem,Aesch_Eum,8,undirected
Aesch_Septem,Aesch_Lib,2,undirected
Aesch_Septem,Aesch_Pers,21,undirected
Aesch_Septem,Aesch_Supp,39,undirected
Aesch_Septem,Eur_Tro,3,undirected
Aesch_Supp,Aesch_Ag,44,undirected
Aesch_Supp,Aesch_Eum,32,undirected
Aesch_Supp,Aesch_Lib,1,undirected
Aesch_Supp,Aesch_Pers,6,undirected
Aesch_Supp,Aesch_Septem,39,undirected
Aristoph_Ach,Aristoph_Eq,24,undirected
Aristoph_Ach,Aristoph_Ra,13,undirected
Aristoph_Ach,Aristoph_Th,8,undirected
Aristoph_Ach,Aristoph_V,23,undirected
Aristoph_Av,Aristoph_Eq,10,undirected
Aristoph_Av,Aristoph_Pax,11,undirected
Aristoph_Av,Aristoph_Ra,9,undirected
Aristoph_Av,Aristoph_Th,30,undirected
Aristoph_Av,Aristoph_V,20,undirected
Aristoph_Ec,Aristoph_Eq,3,undirected
Aristoph_Ec,Aristoph_Nu,2,undirected
Aristoph_Ec,Aristoph_Pax,8,undirected
Aristoph_Ec,Aristoph_Pl,9,undirected
Aristoph_Ec,Aristoph_Ra,31,undirected
Aristoph_Ec,Aristoph_V,23,undirected
Aristoph_Eq,Aristoph_Ach,24,undirected
Aristoph_Eq,Aristoph_Av,10,undirected
Aristoph_Eq,Aristoph_Ec,3,undirected
Aristoph_Eq,Aristoph_Nu,31,undirected
Aristoph_Eq,Aristoph_Pax,8,undirected
Aristoph_Eq,Aristoph_Pl,7,undirected
Aristoph_Eq,Aristoph_Ra,19,undirected
Aristoph_Eq,Aristoph_V,45,undirected
Aristoph_Nu,Aristoph_Ec,2,undirected
Aristoph_Nu,Aristoph_Eq,31,undirected
Aristoph_Nu,Aristoph_Pax,11,undirected
Aristoph_Nu,Aristoph_Pl,1,undirected
Aristoph_Nu,Aristoph_Ra,28,undirected
Aristoph_Nu,Aristoph_Th,1,undirected
Aristoph_Nu,Aristoph_V,49,undirected
Aristoph_Pax,Aristoph_Av,11,undirected
Aristoph_Pax,Aristoph_Ec,8,undirected
Aristoph_Pax,Aristoph_Eq,8,undirected
Aristoph_Pax,Aristoph_Nu,11,undirected
Aristoph_Pax,Aristoph_Ra,7,undirected
Aristoph_Pax,Aristoph_Th,8,undirected
Aristoph_Pax,Aristoph_V,42,undirected
Aristoph_Pl,Aristoph_Ec,9,undirected
Aristoph_Pl,Aristoph_Eq,7,undirected
Aristoph_Pl,Aristoph_Nu,1,undirected
Aristoph_Pl,Aristoph_Ra,14,undirected
Aristoph_Pl,Aristoph_V,30,undirected
Aristoph_Ra,Aristoph_Ach,13,undirected
Aristoph_Ra,Aristoph_Av,9,undirected
Aristoph_Ra,Aristoph_Ec,31,undirected
Aristoph_Ra,Aristoph_Eq,19,undirected
Aristoph_Ra,Aristoph_Nu,28,undirected
Aristoph_Ra,Aristoph_Pax,7,undirected
Aristoph_Ra,Aristoph_Pl,14,undirected
Aristoph_Ra,Aristoph_Th,18,undirected
Aristoph_Ra,Aristoph_V,41,undirected
Aristoph_Th,Aristoph_Ach,8,undirected
Aristoph_Th,Aristoph_Av,30,undirected
Aristoph_Th,Aristoph_Nu,1,undirected
Aristoph_Th,Aristoph_Pax,8,undirected
Aristoph_Th,Aristoph_Ra,18,undirected
Aristoph_Th,Aristoph_V,16,undirected
Aristoph_V,Aristoph_Ach,23,undirected
