Source,Target,Weight,Type
Capote_Blood_1966,Capote_Breakfast_1958,40,undirected
Capote_Blood_1966,Capote_Crossing_1950,46,undirected
Capote_Blood_1966,Capote_Harp_1951,54,undirected
Capote_Blood_1966,Faulkner_Absalom_1936,9,undirected
Capote_Blood_1966,Faulkner_Moses_1942,3,undirected
Capote_Blood_1966,Glasgow_Vein_1935,6,undirected
Capote_Blood_1966,HarperLee_Mockingbird_1960,13,undirected
Capote_Blood_1966,HarperLee_Watchman_2015,16,undirected
Capote_Blood_1966,Styron_Turner_1967,2,undirected
Capote_Breakfast_1958,Capote_Blood_1966,40,undirected
Capote_Breakfast_1958,Capote_Crossing_1950,25,undirected
Capote_Breakfast_1958,Capote_Harp_1951,26,undirected
Capote_Breakfast_1958,Glasgow_Vein_1935,3,undirected
Capote_Breakfast_1958,HarperLee_Mockingbird_1960,3,undirected
Capote_Breakfast_1958,HarperLee_Watchman_2015,5,undirected
Capote_Breakfast_1958,Styron_Darkness_1951,1,undirected
Capote_Crossing_1950,Capote_Blood_1966,46,undirected
Capote_Crossing_1950,Capote_Breakfast_1958,25,undirected
Capote_Crossing_1950,Capote_Harp_1951,37,undirected
Capote_Crossing_1950,Capote_Voices_1948,33,undirected
Capote_Crossing_1950,Glasgow_Phases_1898,6,undirected
Capote_Crossing_1950,Glasgow_Vein_1935,2,undirected
Capote_Crossing_1950,Glasgow_Virginia_1913,9,undirected
Capote_Crossing_1950,McCullers_Member_1946,1,undirected
Capote_Crossing_1950,McCullers_Reflection_1941,1,undirected
Capote_Crossing_1950,Styron_Choice_1979,13,undirected
Capote_Crossing_1950,Styron_Darkness_1951,4,undirected
Capote_Crossing_1950,Styron_Turner_1967,3,undirected
Capote_Harp_1951,Capote_Blood_1966,54,undirected
Capote_Harp_1951,Capote_Breakfast_1958,26,undirected
Capote_Harp_1951,Capote_Crossing_1950,37,undirected
Capote_Harp_1951,Capote_Voices_1948,17,undirected
Capote_Harp_1951,Glasgow_Vein_1935,10,undirected
Capote_Harp_1951,HarperLee_Mockingbird_1960,12,undirected
Capote_Harp_1951,HarperLee_Watchman_2015,9,undirected
Capote_Harp_1951,Welty_TheOptimis_1969,1,undirected
Capote_Voices_1948,Capote_Crossing_1950,33,undirected
Capote_Voices_1948,Capote_Harp_1951,17,undirected
Capote_Voices_1948,Faulkner_Dying_1930,1,undirected
Capote_Voices_1948,Glasgow_Phases_1898,3,undirected
Capote_Voices_1948,McCullers_Member_1946,9,undirected
Capote_Voices_1948,Styron_Darkness_1951,25,undirected
Capote_Voices_1948,Styron_House_1960,13,undirected
Capote_Voices_1948,Styron_Turner_1967,1,undirected
Capote_Voices_1948,Welty_Delta_1945,17,undirected
Faulkner_Absalom_1936,Capote_Blood_1966,9,undirected
Faulkner_Absalom_1936,Faulkner_Light_1832,39,undirected
Faulkner_Absalom_1936,Faulkner_Moses_1942,49,undirected
Faulkner_Absalom_1936,Styron_Choice_1979,1,undirected
Faulkner_Dying_1930,Capote_Voices_1948,1,undirected
Faulkner_Dying_1930,Faulkner_Light_1832,20,undirected
Faulkner_Dying_1930,Faulkner_Sound_1929,60,undirected
Faulkner_Dying_1930,HarperLee_Mockingbird_1960,1,undirected
Faulkner_Dying_1930,OConnor_Stories_1960,8,undirected
Faulkner_Light_1832,Faulkner_Absalom_1936,39,undirected
Faulkner_Light_1832,Faulkner_Dying_1930,20,undirected
Faulkner_Light_1832,Faulkner_Moses_1942,60,undirected
Faulkner_Light_1832,Faulkner_Sound_1929,4,undirected
Faulkner_Light_1832,McCullers_HeartIsaLo_1940,2,undirected
Faulkner_Light_1832,OConnor_Everything_1956,2,undirected
Faulkner_Light_1832,OConnor_Stories_1960,8,undirected
Faulkner_Moses_1942,Capote_Blood_1966,3,undirected
Faulkner_Moses_1942,Faulkner_Absalom_1936,49,undirected
Faulkner_Moses_1942,Faulkner_Light_1832,60,undirected
Faulkner_Moses_1942,OConnor_Everything_1956,1,undirected
Faulkner_Moses_1942,OConnor_Stories_1960,6,undirected
Faulkner_Sound_1929,Faulkner_Dying_1930,60,undirected
Faulkner_Sound_1929,Faulkner_Light_1832,4,undirected
Faulkner_Sound_1929,HarperLee_Mockingbird_1960,16,undirected
Faulkner_Sound_1929,HarperLee_Watchman_2015,5,undirected
Faulkner_Sound_1929,OConnor_Stories_1960,2,undirected
Faulkner_Sound_1929,Welty_Losing_1946,3,undirected
Glasgow_Phases_1898,Capote_Crossing_1950,6,undirected
Glasgow_Phases_1898,Capote_Voices_1948,3,undirected
Glasgow_Phases_1898,Glasgow_Virginia_1913,31,undirected
Glasgow_Phases_1898,OConnor_Everything_1956,1,undirected
Glasgow_Phases_1898,Styron_Choice_1979,3,undirected
Glasgow_Phases_1898,Styron_House_1960,13,undirected
Glasgow_Phases_1898,Styron_Turner_1967,4,undirected
Glasgow_Vein_1935,Capote_Blood_1966,6,undirected
Glasgow_Vein_1935,Capote_Breakfast_1958,3,undirected
Glasgow_Vein_1935,Capote_Crossing_1950,2,undirected
Glasgow_Vein_1935,Capote_Harp_1951,10,undirected
Glasgow_Vein_1935,Glasgow_Virginia_1913,60,undirected
Glasgow_Vein_1935,HarperLee_Watchman_2015,2,undirected
Glasgow_Vein_1935,Styron_Choice_1979,4,undirected
Glasgow_Vein_1935,Styron_House_1960,3,undirected
Glasgow_Virginia_1913,Capote_Crossing_1950,9,undirected
Glasgow_Virginia_1913,Glasgow_Phases_1898,31,undirected
Glasgow_Virginia_1913,Glasgow_Vein_1935,60,undirected
Glasgow_Virginia_1913,Styron_Choice_1979,21,undirected
HarperLee_Mockingbird_1960,Capote_Blood_1966,13,undirected
HarperLee_Mockingbird_1960,Capote_Breakfast_1958,3,undirected
HarperLee_Mockingbird_1960,Capote_Harp_1951,12,undirected
HarperLee_Mockingbird_1960,Faulkner_Dying_1930,1,undirected
HarperLee_Mockingbird_1960,Faulkner_Sound_1929,16,undirected
HarperLee_Mockingbird_1960,HarperLee_Watchman_2015,60,undirected
HarperLee_Mockingbird_1960,OConnor_Everything_1956,4,undirected
HarperLee_Mockingbird_1960,OConnor_Stories_1960,5,undirected
HarperLee_Mockingbird_1960,Welty_Losing_1946,9,undirected
HarperLee_Watchman_2015,Capote_Blood_1966,16,undirected
HarperLee_Watchman_2015,Capote_Breakfast_1958,5,undirected
HarperLee_Watchman_2015,Capote_Harp_1951,9,undirected
HarperLee_Watchman_2015,Faulkner_Sound_1929,5,undirected
HarperLee_Watchman_2015,Glasgow_Vein_1935,2,undirected
HarperLee_Watchman_2015,HarperLee_Mockingbird_1960,60,undirected
McCullers_HeartIsaLo_1940,Faulkner_Light_1832,2,undirected
McCullers_HeartIsaLo_1940,McCullers_Member_1946,58,undirected
McCullers_HeartIsaLo_1940,McCullers_Reflection_1941,37,undirected
McCullers_HeartIsaLo_1940,OConnor_Everything_1956,10,undirected
McCullers_HeartIsaLo_1940,OConnor_Stories_1960,19,undirected
McCullers_HeartIsaLo_1940,OConnor_WiseBlood_1949,10,undirected
McCullers_Member_1946,Capote_Crossing_1950,1,undirected
McCullers_Member_1946,Capote_Voices_1948,9,undirected
McCullers_Member_1946,McCullers_HeartIsaLo_1940,58,undirected
McCullers_Member_1946,McCullers_Reflection_1941,11,undirected
McCullers_Member_1946,OConnor_Stories_1960,4,undirected
