Source,Target,Weight,Type
ABronte_Agnes_1,ABronte_Agnes_8,2,undirected
ABronte_Agnes_1,ABronte_Agnes_11,3,undirected
ABronte_Agnes_1,ABronte_Agnes_14,1,undirected
ABronte_Agnes_2,ABronte_Agnes_10,6,undirected
ABronte_Agnes_2,ABronte_Agnes_12,1,undirected
ABronte_Agnes_2,ABronte_Agnes_14,2,undirected
ABronte_Agnes_2,ABronte_Agnes_15,1,undirected
ABronte_Agnes_2,CBronte_Villette_6,1,undirected
ABronte_Agnes_3,ABronte_Agnes_6,1,undirected
ABronte_Agnes_3,ABronte_Agnes_8,6,undirected
ABronte_Agnes_3,ABronte_Agnes_14,1,undirected
ABronte_Agnes_3,CBronte_Professor_15,2,undirected
ABronte_Agnes_4,ABronte_Agnes_8,1,undirected
ABronte_Agnes_4,ABronte_Agnes_11,2,undirected
ABronte_Agnes_4,ABronte_Agnes_14,3,undirected
ABronte_Agnes_5,ABronte_Agnes_11,6,undirected
ABronte_Agnes_5,ABronte_Agnes_15,4,undirected
ABronte_Agnes_5,Austen_Emma_2,2,undirected
ABronte_Agnes_5,CBronte_Villette_5,4,undirected
ABronte_Agnes_5,CBronte_Villette_10,1,undirected
ABronte_Agnes_6,ABronte_Agnes_3,1,undirected
ABronte_Agnes_6,ABronte_Agnes_11,4,undirected
ABronte_Agnes_6,ABronte_Agnes_14,2,undirected
ABronte_Agnes_7,ABronte_Agnes_8,3,undirected
ABronte_Agnes_7,CBronte_Jane_13,1,undirected
ABronte_Agnes_7,CBronte_Villette_4,2,undirected
ABronte_Agnes_8,ABronte_Agnes_1,2,undirected
ABronte_Agnes_8,ABronte_Agnes_3,6,undirected
ABronte_Agnes_8,ABronte_Agnes_4,1,undirected
ABronte_Agnes_8,ABronte_Agnes_7,3,undirected
ABronte_Agnes_8,ABronte_Tenant_12,2,undirected
ABronte_Agnes_8,CBronte_Jane_12,3,undirected
ABronte_Agnes_8,CBronte_Professor_4,1,undirected
ABronte_Agnes_9,ABronte_Agnes_10,1,undirected
ABronte_Agnes_9,ABronte_Agnes_11,2,undirected
ABronte_Agnes_9,ABronte_Tenant_12,3,undirected
ABronte_Agnes_9,ABronte_Tenant_14,4,undirected
ABronte_Agnes_9,CBronte_Jane_7,1,undirected
ABronte_Agnes_9,CBronte_Professor_4,4,undirected
ABronte_Agnes_10,ABronte_Agnes_2,6,undirected
ABronte_Agnes_10,ABronte_Agnes_9,1,undirected
ABronte_Agnes_10,ABronte_Agnes_14,2,undirected
ABronte_Agnes_10,ABronte_Tenant_11,1,undirected
ABronte_Agnes_11,ABronte_Agnes_1,3,undirected
ABronte_Agnes_11,ABronte_Agnes_4,2,undirected
ABronte_Agnes_11,ABronte_Agnes_5,6,undirected
ABronte_Agnes_11,ABronte_Agnes_6,4,undirected
ABronte_Agnes_11,ABronte_Agnes_9,2,undirected
ABronte_Agnes_11,ABronte_Agnes_13,1,undirected
