
78310. Place: Zamość, Year: 1748  
129136. Place: -, Year: -  
90854. Place: Łowicz, Year: 1782  
49332. Place: -, Year: -  
89555. Place: -, Year: -  
1191. Place: S. Pietierburg, Year: 1849  
116079. Place: -, Year: -  
13287. Place: -, Year: -  
102172. Place: Wilno, Year: 1801  
41269. Place: Kraków, Year: 1886  
183340. Place: -, Year: -  
219649. Place: -, Year: 1748  
87230. Place: Warszawa, Year: 1872  
65805. Place: Chicago, Year: 1880  
1707. Place: -, Year: -  
1203. Place: Warszawa, Year: -  
123547. Place: -, Year: 1600  
58685. Place: Warszawa, Year: 1879  
116228. Place: Frankfurt, Year: 1728  
177239. Place: -, Year: -  
78397. Place: -, Year: -  
127355. Place: Lwów, Year: 1746  
102261. Place: -, Year: -  
6287. Place: -, Year: 1897  
4643. Place: Lwów, Year: 1888  
113696. Place: Praga, Year: 1852  
14133. Place: -, Year: -  
210464. Place: Kraków, Year: 1728  
51741. Place: -, Year: -  
151875. Place: -, Year: -  
67786. Place: Bydgoszcz, Year: 1844  
110477. Place: -, Year: -  
22971. Place: Gotha, Year: 1865  
168693. Place: -, Year: 1644  
95533. Place: Suwałki, Year: 1872  
60739. Place: Opole, Year: 1816  
117520. Place: -, Year: -  
80639. Place: Kraków, Year: 1874  
173605. Place: -, Year: 1670  
133250. Place: -, Year: -  
117343. Place: -, Year: -  
5844. Place: Tarnów, Year: 1884  
92079. Place: -, Year: -  
90454. Place: Monachium, Year: 1895  
145274. Place: -, Year: 1565  
207904. Place: -, Year: -  
108591. Place: Kraków, Year: 1549  
88234. Place: Poznań, Year: 1894  
175295. Place: -, Year: 1607  
49169. Place: Wiedeń, Year: 1840
192321. Place: -, Year: -
223156. Place: -, Year: -
91664. Place: Lwów, Year: 1857
24874. Place: -, Year: -
9944. Place: Gdańsk, Year: 1860
58249. Place: Kraków, Year: 1690
20300. Place: -, Year: -
43686. Place: Frankfurt nad Odrą, Year: 1681
211392. Place: Jasna Góra, Year: 1760
53303. Place: -, Year: -
100567. Place: Warszawa, Year: 1876
160623. Place: -, Year: 1684
64137. Place: -, Year: -
14728. Place: Paryż, Year: 1878
49956. Place: Kraków, Year: 1900
44475. Place: Zduny, Year: 1742
18771. Place: Kraków, Year: 1766
117875. Place: -, Year: -
6832. Place: Warszawa, Year: 1895
68576. Place: Lwów, Year: 1871
166321. Place: Lwów, Year: 1684
118890. Place: Lipsk, Year: 1694
14751. Place: -, Year: 1819
71546. Place: Petersburg, Year: 1836
125082. Place: Florencja, Year: 1628
108913. Place: Lwów, Year: 1846
16519. Place: -, Year: -
204508. Place: Kraków, Year: 1685
53594. Place: -, Year: -
175216. Place: -, Year: 1777
146358. Place: Norymberga, Year: 1603
91798. Place: Warszawa, Year: 1897
6179. Place: Wilno, Year: 1825
215762. Place: -, Year: -
171660. Place: Warszawa, Year: 1790
71439. Place: -, Year: -
72527. Place: -, Year: -
196669. Place: Kraków, Year: 1605
209096. Place: -, Year: -
46788. Place: -, Year: -
127421. Place: Lesna, Year: 1696
44393. Place: Warszawa, Year: 1791
21327. Place: Żytomierz, Year: -
206032. Place: -, Year: -
105934. Place: Genewa, Year: 1900
138605. Place: -, Year: -
86909. Place: Kraków, Year: 1896
128973. Place: -, Year: -
173284. Place: -, Year: 1761
78345. Place: Ratyzbona, Year: 1733
55090. Place: -, Year: -
99012. Place: -, Year: -
125770. Place: Braniewo, Year: 1716
200239. Place: Toruń, Year: -
186953. Place: -, Year: -
155966. Place: -, Year: 1673
92941. Place: -, Year: -
210144. Place: -, Year: -
154743. Place: -, Year: 1776
166010. Place: -, Year: -
41711. Place: Cieszyn, Year: 1897
98110. Place: -, Year: -
111191. Place: -, Year: -
194711. Place: Lwów, Year: 1737
142992. Place: -, Year: -
99107. Place: Lwów, Year: 1890
217618. Place: -, Year: -
8226. Place: Warszawa, Year: 1883
111162. Place: Kraków, Year: 1882
60530. Place: Gdańsk, Year: 1689
27403. Place: -, Year: -
41384. Place: Kraków, Year: 1900
18623. Place: Gdańsk, Year: 1654
79760. Place: -, Year: -
108580. Place: Braniewo, Year: 1739
32948. Place: Lwów, Year: 1897
18019. Place: Lipsk, Year: 1576
201718. Place: -, Year: 1792
130963. Place: Przemyśl, Year: -
142684. Place: -, Year: 1794
42499. Place: -, Year: -
20777. Place: Kalisz, Year: 1834
49338. Place: -, Year: -
54687. Place: -, Year: -
102070. Place: Warszawa, Year: 1874
133552. Place: Amsterdam, Year: 1633
71145. Place: Kraków, Year: 1885
14332. Place: -, Year: -
174094. Place: -, Year: 1797
74059. Place: Warszawa, Year: 1881
190514. Place: Zamość, Year: 1700
115373. Place: -, Year: 1765
50737. Place: Warszawa, Year: 1884
28034. Place: -, Year: -
200002. Place: -, Year: -
44099. Place: Dorpat, Year: 1836
82233. Place: Rzeszów, Year: 1887
125782. Place: Kraków, Year: 1680
130412. Place: Kraków, Year: 1695
78217. Place: Warszawa, Year: 1883
85869. Place: Wadowice, Year: 1852  
58464. Place: Wilno, Year: 1786  
61776. Place: -, Year: -  
156541. Place: -, Year: -  
25597. Place: Warszawa, Year: 1861  
71888. Place: -, Year: -  
36407. Place: Lwów, Year: 1888  
139331. Place: Wilno, Year: -  
163507. Place: Toruń, Year: 1706  
19391. Place: Lwów, Year: 1896  
17315. Place: Warszawa, Year: 1886  
75276. Place: -, Year: -  
205958. Place: -, Year: 1781  
222823. Place: -, Year: -  
27512. Place: -, Year: -  
28871. Place: -, Year: -  
189926. Place: -, Year: -  
196622. Place: Kraków, Year: 1602  
45342. Place: -, Year: 1894  
24814. Place: Paryż, Year: 1893  
14725. Place: -, Year: -  
50755. Place: Lipsk, Year: 1678  
27724. Place: -, Year: -  
48129. Place: Warszawa, Year: 1782  
29849. Place: -, Year: -  
18068. Place: Gdańsk, Year: 1580  
200247. Place: -, Year: -  
14608. Place: -, Year: -  
110673. Place: Zamość, Year: -  
77929. Place: -, Year: -  
461. Place: Elbląg, Year: 1645  
113145. Place: -, Year: -  
58575. Place: -, Year: -  
18738. Place: -, Year: -  
203184. Place: -, Year: 1658  
6808. Place: -, Year: -  
218945. Place: Kraków, Year: 1410  
43863. Place: -, Year: -  
175063. Place: Wenecja, Year: 1613  
64231. Place: -, Year: -  
186248. Place: -, Year: 1656  
44346. Place: Warszawa, Year: 1824  
113499. Place: -, Year: -  
205917. Place: Neapol, Year: 1622  
220106. Place: Warszawa, Year: 1789  
207393. Place: -, Year: -  
49100. Place: -, Year: -  
2624. Place: Gdańsk, Year: 1649  
18498. Place: -, Year: -  
17420. Place: -, Year: -
149192. Place: Częstochowa, Year: 1735  
187160. Place: Gdańsk, Year: 1640  
126350. Place: -, Year: 1685  
204979. Place: Wilno, Year: 1774  
22696. Place: Warszawa, Year: -  
126837. Place: Gdańsk, Year: 1741  
94100. Place: Kraków, Year: 1888  
180040. Place: Warszawa, Year: 1780  
93499. Place: -, Year: -  
80915. Place: -, Year: -  
115936. Place: -, Year: -  
128351. Place: Neapol, Year: 1629  
222444. Place: -, Year: -  
133230. Place: Lwów, Year: 1702  
46988. Place: -, Year: 1519  
55928. Place: -, Year: -  
78667. Place: -, Year: -  
197080. Place: Poznań, Year: 1698  
127268. Place: -, Year: -  
19805. Place: Toruń, Year: 1760  
163038. Place: Toruń, Year: 1707  
95199. Place: Kraków, Year: 1896  
1406. Place: -, Year: -  
258. Place: Wilno, Year: 1840  
78013. Place: -, Year: -  
152660. Place: -, Year: -  
138922. Place: -, Year: -  
19546. Place: Kraków, Year: 1896  
91087. Place: Warszawa, Year: -  
