Source,Target,Weight,Type
Aesch_Ag,Aesch_Eum,6,undirected
Aesch_Ag,Aesch_Lib,4,undirected
Aesch_Ag,Aesch_Pers,2,undirected
Aesch_Ag,Aesch_Supp,5,undirected
Aesch_Eum,Aesch_Ag,6,undirected
Aesch_Eum,Aesch_Lib,1,undirected
Aesch_Eum,Aesch_Supp,4,undirected
Aesch_Lib,Aesch_Ag,4,undirected
Aesch_Lib,Aesch_Eum,1,undirected
Aesch_Lib,Aesch_Pers,5,undirected
Aesch_Lib,Eur_Phoen,1,undirected
Aesch_Pers,Aesch_Ag,2,undirected
Aesch_Pers,Aesch_Lib,5,undirected
Aesch_Pers,Aesch_Septem,1,undirected
Aesch_Prom,Eur_IA,3,undirected
Aesch_Prom,Eur_Supp,1,undirected
Aesch_Prom,Soph_Trach,2,undirected
Aesch_Septem,Aesch_Pers,1,undirected
Aesch_Septem,Aesch_Supp,2,undirected
Aesch_Septem,Eur_Phoen,2,undirected
Aesch_Septem,Eur_Tro,3,undirected
Aesch_Supp,Aesch_Ag,5,undirected
Aesch_Supp,Aesch_Eum,4,undirected
Aesch_Supp,Aesch_Septem,2,undirected
Aristoph_Ach,Aristoph_Av,1,undirected
Aristoph_Ach,Aristoph_Ra,2,undirected
Aristoph_Ach,Aristoph_V,3,undirected
Aristoph_Av,Aristoph_Ach,1,undirected
Aristoph_Av,Aristoph_Ra,5,undirected
Aristoph_Av,Aristoph_Th,6,undirected
Aristoph_Av,Aristoph_V,1,undirected
Aristoph_Ec,Aristoph_Pl,5,undirected
Aristoph_Ec,Aristoph_Ra,4,undirected
Aristoph_Ec,Aristoph_Th,2,undirected
Aristoph_Eq,Aristoph_Nu,4,undirected
Aristoph_Eq,Aristoph_Ra,2,undirected
Aristoph_Eq,Aristoph_V,1,undirected
Aristoph_Nu,Aristoph_Eq,4,undirected
Aristoph_Nu,Aristoph_Pax,2,undirected
Aristoph_Nu,Aristoph_Ra,4,undirected
Aristoph_Nu,Aristoph_V,6,undirected
Aristoph_Pax,Aristoph_Nu,2,undirected
Aristoph_Pax,Aristoph_Ra,1,undirected
Aristoph_Pax,Aristoph_V,4,undirected
Aristoph_Pl,Aristoph_Ec,5,undirected
Aristoph_Pl,Aristoph_Ra,2,undirected
Aristoph_Pl,Aristoph_V,1,undirected
Aristoph_Ra,Aristoph_Ach,2,undirected
Aristoph_Ra,Aristoph_Av,5,undirected
Aristoph_Ra,Aristoph_Ec,4,undirected
Aristoph_Ra,Aristoph_Eq,2,undirected
Aristoph_Ra,Aristoph_Nu,4,undirected
Aristoph_Ra,Aristoph_Pax,1,undirected
Aristoph_Ra,Aristoph_Pl,2,undirected
Aristoph_Ra,Aristoph_Th,2,undirected
Aristoph_Ra,Aristoph_V,2,undirected
Aristoph_Th,Aristoph_Av,6,undirected
Aristoph_Th,Aristoph_Ec,2,undirected
Aristoph_Th,Aristoph_Ra,2,undirected
