Source,Target,Weight,Type
Aesch_Ag,Aesch_Eum,55,undirected
Aesch_Ag,Aesch_Lib,51,undirected
Aesch_Ag,Aesch_Pers,26,undirected
Aesch_Ag,Aesch_Septem,22,undirected
Aesch_Ag,Aesch_Supp,43,undirected
Aesch_Ag,Eur_Rh,8,undirected
Aesch_Eum,Aesch_Ag,55,undirected
Aesch_Eum,Aesch_Lib,32,undirected
Aesch_Eum,Aesch_Pers,2,undirected
Aesch_Eum,Aesch_Septem,2,undirected
Aesch_Eum,Aesch_Supp,29,undirected
Aesch_Lib,Aesch_Ag,51,undirected
Aesch_Lib,Aesch_Eum,32,undirected
Aesch_Lib,Aesch_Pers,6,undirected
Aesch_Lib,Aesch_Septem,2,undirected
Aesch_Lib,Aesch_Supp,1,undirected
Aesch_Lib,Eur_Phoen,6,undirected
Aesch_Pers,Aesch_Ag,26,undirected
Aesch_Pers,Aesch_Eum,2,undirected
Aesch_Pers,Aesch_Lib,6,undirected
Aesch_Pers,Aesch_Septem,30,undirected
Aesch_Pers,Aesch_Supp,8,undirected
Aesch_Pers,Eur_Phoen,2,undirected
Aesch_Prom,Eur_Hel,12,undirected
Aesch_Prom,Eur_IA,4,undirected
Aesch_Prom,Eur_Phoen,2,undirected
Aesch_Prom,Eur_Supp,4,undirected
Aesch_Prom,Soph_Ant,15,undirected
Aesch_Prom,Soph_OC,9,undirected
Aesch_Prom,Soph_Trach,14,undirected
Aesch_Septem,Aesch_Ag,22,undirected
Aesch_Septem,Aesch_Eum,2,undirected
Aesch_Septem,Aesch_Lib,2,undirected
Aesch_Septem,Aesch_Pers,30,undirected
Aesch_Septem,Aesch_Supp,37,undirected
Aesch_Septem,Eur_Phoen,2,undirected
Aesch_Septem,Eur_Tro,4,undirected
Aesch_Supp,Aesch_Ag,43,undirected
Aesch_Supp,Aesch_Eum,29,undirected
Aesch_Supp,Aesch_Lib,1,undirected
Aesch_Supp,Aesch_Pers,8,undirected
Aesch_Supp,Aesch_Septem,37,undirected
Aristoph_Ach,Aristoph_Av,1,undirected
Aristoph_Ach,Aristoph_Eq,23,undirected
Aristoph_Ach,Aristoph_Nu,1,undirected
Aristoph_Ach,Aristoph_Pax,4,undirected
Aristoph_Ach,Aristoph_Ra,8,undirected
Aristoph_Ach,Aristoph_Th,2,undirected
Aristoph_Ach,Aristoph_V,23,undirected
Aristoph_Av,Aristoph_Ach,1,undirected
Aristoph_Av,Aristoph_Eq,12,undirected
Aristoph_Av,Aristoph_Pax,14,undirected
Aristoph_Av,Aristoph_Pl,2,undirected
Aristoph_Av,Aristoph_Ra,15,undirected
